"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"TAE","Aadorf/Tänikon",539,"710517","259824",201907081050,19.9,0,3,650,72,6.5,64
"COM","Acquarossa/Comprovasco",575,"714984","146451",201907081050,27.9,0,10,1017,35,13.7,66
"ABO","Adelboden",1322,"609350","149001",201907081050,17.4,0,-,-,72,12.6,-
"AIG","Aigle",381,"560404","130713",201907081050,26.1,0,10,1058,56,6.5,72
"ALT","Altdorf",438,"690180","193564",201907081050,19.4,0,0,218,84,4.3,63
"ARH","Altenrhein",398,"760382","261386",201907081050,19,0,0,307,79,8.6,60
"AND","Andeer",987,"752691","164038",201907081050,17.9,0,8,843,70,5,66
"ANT","Andermatt",1438,"687444","165044",201907081050,15.3,0,5,721,74,27.7,50
"ARO","Arosa",1878,"771030","184825",201907081050,11.2,0,0,244,82,7.9,53
"RAG","Bad Ragaz",496,"756910","209350",201907081050,18.6,0.1,0,30,82,3.6,41
"BAN","Bantiger",941,"606850","202975",201907081050,-,-,2,560,-,-,-
"BAS","Basel/Binningen",316,"610908","265611",201907081050,20.6,0,0,612,63,6.8,61
"LAT","Bergün/Latsch",1407,"777273","166618",201907081050,15.2,0,-,-,75,3.2,-
"BER","Bern/Zollikofen",552,"601933","204409",201907081050,23.2,0,4,603,57,11.5,62
"BEZ","Beznau",325,"659812","267696",201907081050,22.1,0,0,612,65,5.4,64
"BIA","Biasca",278,"718550","132800",201907081050,28.4,0,10,1012,38,7.6,71
"BIN","Binn",1479,"657996","135422",201907081050,18.7,0,-,-,48,11.5,-
"BIZ","Bischofszell",470,"735325","262285",201907081050,19.9,0,0,511,68,7.9,60
"BIV","Bivio",1856,"771281","148119",201907081050,14.9,0,-,-,67,17.3,-
"BIE","Bière",683,"515887","153210",201907081050,22.8,0,0,177,63,1.4,64
"BLA","Blatten, Lötschental",1538,"629564","141084",201907081050,17.5,0,1,315,53,5,57
"BOL","Boltigen",820,"595831","163587",201907081050,21.9,0,0,114,48,5.8,58
"BOU","Bouveret",374,"555264","138175",201907081050,22.6,-,-,-,65,5,-
"BRZ","Brienz",567,"647552","176803",201907081050,-,0,-,-,-,1.4,-
"BUS","Buchs/Aarau",386,"648395","248369",201907081050,23.2,0,0,551,54,7.9,61
"BUF","Buffalora",1968,"816494","170225",201907081050,13.4,0,0,200,52,12.2,48
"FRE","Bullet/La Frétaz",1205,"534225","188081",201907081050,18.5,0,5,711,76,6.5,64
"CEV","Cevio",417,"689688","130565",201907081050,27.5,0,10,991,43,5.4,72
"CHZ","Cham",442,"677758","226878",201907081050,23.6,0,10,962,62,4.3,72
"CHA","Chasseral",1599,"570845","220157",201907081050,15,0,2,692,67,16.6,52
"CHM","Chaumont",1136,"565060","211006",201907081050,19.2,0,9,974,62,5,67
"CHU","Chur",556,"759465","193152",201907081050,17.9,0,0,157,81,2.9,62
"CHD","Château-d'Oex",1028,"577040","147654",201907081050,22.8,0,5,846,40,10.1,61
"CIM","Cimetta",1661,"704433","117457",201907081050,19.4,0,10,943,50,4,67
"CDM","Col des Mosses",1412,"573817","137852",201907081050,18.9,0,-,-,58,11.2,-
"GSB","Col du Grand St-Bernard",2472,"579192","79753",201907081050,11.7,0,10,1107,51,20.5,51
"COY","Courtelary",695,"573622","225597",201907081050,22.4,0,-,-,54,6.1,-
"CMA","Crap Masegn",2480,"732820","189380",201907081050,7.5,-,1,445,79,14.4,-
"CRM","Cressier",430,"571162","210797",201907081050,22.9,0,0,203,57,6.1,61
"DAV","Davos",1594,"783518","187458",201907081050,13.1,0,0,147,80,11.9,52
"DEM","Delémont",439,"593269","244543",201907081050,22,0,1,778,63,13.3,60
"DIS","Disentis",1197,"708190","173793",201907081050,15.4,0,6,892,80,5,65
"EBK","Ebnat-Kappel",623,"726347","237176",201907081050,21,0,8,666,66,10.8,64
"EGH","Eggishorn",2893,"650279","141897",201907081050,6.8,-,0,436,66,7.9,-
"EGO","Egolzwil",521,"642912","225540",201907081050,24.8,0,10,799,42,9,66
"EIN","Einsiedeln",910,"699982","221068",201907081050,19.2,0,10,920,68,8.6,66
"ELM","Elm",957,"732265","198425",201907081050,14.9,0,0,269,91,2.5,54
"ENG","Engelberg",1035,"674160","186069",201907081050,15.6,0,0,57,83,2.9,59
"EVI","Evionnaz",482,"568197","114693",201907081050,25,0,4,552,48,19.1,57
"EVO","Evolène/Villa",1825,"605412","106748",201907081050,15.8,0,6,754,58,8.6,59
"FAH","Fahy",596,"562464","252675",201907081050,19.1,0,0,398,73,11.2,58
"FLU","Flühli, LU",939,"644332","193311",201907081050,20,0,-,-,63,6.8,-
"GRA","Fribourg/Posieux",650,"575183","180076",201907081050,23.1,0,1,334,56,5.8,62
"FRU","Frutigen",756,"616773","160884",201907081050,21.1,0,0,284,67,10.8,58
"GVE","Genève/Cointrin",410,"498904","122631",201907081050,27.5,0,10,1006,42,7.9,71
"GES","Gersau",521,"682509","205571",201907081050,20.5,0,-,-,74,6.1,-
"GIH","Giswil",471,"657322","188976",201907081050,21,0,0,181,74,3.2,63
"GLA","Glarus",516,"723755","210567",201907081050,16.9,0,0,55,90,9.7,57
"GOR","Gornergrat",3129,"626900","92512",201907081050,9,-,10,1047,53,7.2,-
"GRE","Grenchen",427,"598218","225349",201907081050,23.7,0,0,494,59,4.3,64
"GRH","Grimsel Hospiz",1980,"668583","158215",201907081050,-,-,-,-,-,-,-
"GRO","Grono",323,"733016","124090",201907081050,26.9,0,10,886,39,4.3,71
"GRC","Grächen",1605,"630738","116062",201907081050,18.3,0,8,857,45,-,-
"GOS","Göschenen",950,"688477","171926",201907081050,16.8,0,-,-,76,7.9,-
"GOE","Gösgen",380,"640421","245949",201907081050,23.9,0,3,739,53,9,63
"GUE","Gütsch, Andermatt",2283,"690050","167475",201907081050,9,0,0,290,89,13.3,49
"GUT","Güttingen",440,"738421","273962",201907081050,19.3,0,1,639,68,8.3,61
"HLL","Hallau",419,"677456","283472",201907081050,20.2,0,0,321,67,7.6,60
"HOE","Hörnli",1144,"713516","247756",201907081050,14.6,0,0,138,90,4.7,59
"ILZ","Ilanz",698,"735685","181965",201907081050,17.6,0,0,434,80,-,-
"INT","Interlaken",577,"633023","169092",201907081050,21.9,0,0,373,64,4.3,63
"JUN","Jungfraujoch",3580,"641930","155275",201907081050,-1,-,1,754,95,22.3,-
"KOP","Koppigen",485,"612662","218664",201907081050,23.8,0,0,379,48,8.6,60
"BRL","La Brévine",1050,"536981","203974",201907081050,20.4,0,10,686,50,11.5,62
