"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"TAE","Aadorf / Tänikon",539,710517,259824,"2020-02-26 10:20:00",0.4,0.8,0,21,93,17.6,12
"COM","Acquarossa / Comprovasco",575,714984,146451,"2020-02-26 10:20:00",6.1,0,0,163,42,19.4,36
"ABO","Adelboden",1322,609350,149001,"2020-02-26 10:20:00",-3.9,0.1,0,27,82,18.4,16
"AIG","Aigle",381,560404,130713,"2020-02-26 10:20:00",3.9,0,0,59,71,24.5,35
"ALT","Altdorf",438,690180,193564,"2020-02-26 10:20:00",0.8,0,0,19,95,2.5,42
"ARH","Altenrhein",398,760382,261386,"2020-02-26 10:20:00",2,0,0,132,93,4.7,42
"AND","Andeer",987,752691,164038,"2020-02-26 10:20:00",-0.1,0,0,171,83,7.9,44
"ANT","Andermatt",1438,687444,165044,"2020-02-26 10:20:00",-3.6,0,0,129,76,6.5,43
"ARO","Arosa",1878,771030,184825,"2020-02-26 10:20:00",-5.2,0,0,177,61,4.3,43
"RAG","Bad Ragaz",496,756910,209350,"2020-02-26 10:20:00",2.4,0,0,41,84,19.8,38
"BAN","Bantiger",941,606850,202975,"2020-02-26 10:20:00",-,-,0,95,-,-,-
"BAS","Basel / Binningen",316,610908,265611,"2020-02-26 10:20:00",1.9,0,0,163,84,23,36
"LAT","Bergün / Latsch",1407,777273,166618,"2020-02-26 10:20:00",-1.8,0,-,-,81,3.6,45
"BER","Bern / Zollikofen",552,601933,204409,"2020-02-26 10:20:00",1.5,0,0,150,78,23,35
"BEZ","Beznau",325,659812,267696,"2020-02-26 10:20:00",2,0,0,124,84,22.3,37
"BIA","Biasca",278,718550,132800,"2020-02-26 10:20:00",8.6,0,0,73,36,31.7,33
"BIN","Binn",1479,657996,135422,"2020-02-26 10:20:00",-4.1,0,-,-,83,22.3,34
"BIZ","Bischofszell",470,735325,262285,"2020-02-26 10:20:00",1.4,0.1,0,19,100,5.4,20
"BIV","Bivio",1856,771281,148119,"2020-02-26 10:20:00",-4.6,0,-,-,72,6.5,42
"BIE","Bière",683,515887,153210,"2020-02-26 10:20:00",1.2,0,0,104,71,32.4,32
"BLA","Blatten, Lötschental",1538,629564,141084,"2020-02-26 10:20:00",-5.3,0.3,0,13,92,9.4,16
"BOL","Boltigen",820,595831,163587,"2020-02-26 10:20:00",-1.2,0.1,0,37,93,6.5,18
"BOU","Bouveret",374,555264,138175,"2020-02-26 10:20:00",5,-,-,-,67,41,-
"BRZ","Brienz",567,647552,176803,"2020-02-26 10:20:00",-,0,-,-,-,28.1,-
"BUS","Buchs / Aarau",386,648395,248369,"2020-02-26 10:20:00",1.4,0,0,95,89,9.7,44
"BUF","Buffalora",1968,816494,170225,"2020-02-26 10:20:00",-3.3,0,10,537,41,13.3,41
"FRE","Bullet / La Frétaz",1205,534225,188081,"2020-02-26 10:20:00",-3.6,0,0,275,84,17.6,38
"CEV","Cevio",417,689688,130565,"2020-02-26 10:20:00",6.4,0,0,66,49,26.6,33
"CHZ","Cham",442,677758,226878,"2020-02-26 10:20:00",1,0.8,0,0,96,29.5,8
"CHA","Chasseral",1599,570845,220157,"2020-02-26 10:20:00",-7,0.6,0,91,100,102.6,8
"CHM","Chaumont",1136,565060,211006,"2020-02-26 10:20:00",-4.1,0,0,70,87,19.1,37
"CHU","Chur",556,759465,193152,"2020-02-26 10:20:00",3.2,0,0,51,74,6.1,46
"CHD","Château-d'Oex",1028,577040,147654,"2020-02-26 10:20:00",-1.2,0,0,56,76,24.8,32
