"Station","Name","Höhe","Longitude","Latitude"
"TAE","Aadorf / Tänikon",539,710517,259824
"COM","Acquarossa / Comprovasco",575,714984,146451
"ABO","Adelboden",1322,609350,149001
"AIG","Aigle",381,560404,130713
"ALT","Altdorf",438,690180,193564
"ARH","Altenrhein",398,760382,261386
"AND","Andeer",987,752691,164038
"ANT","Andermatt",1438,687444,165044
"ARO","Arosa",1878,771030,184825
"RAG","Bad Ragaz",496,756910,209350
"BAN","Bantiger",941,606850,202975
"BAS","Basel / Binningen",316,610908,265611
"LAT","Bergün / Latsch",1407,777273,166618
"BER","Bern / Zollikofen",552,601933,204409
"BEZ","Beznau",325,659812,267696
"BIA","Biasca",278,718550,132800
"BIN","Binn",1479,657996,135422
"BIZ","Bischofszell",470,735325,262285
"BIV","Bivio",1856,771281,148119
"BIE","Bière",683,515887,153210
"BLA","Blatten, Lötschental",1538,629564,141084
"BOL","Boltigen",820,595831,163587
"BOU","Bouveret",374,555264,138175
"BRZ","Brienz",567,647552,176803
"BUS","Buchs / Aarau",386,648395,248369
"BUF","Buffalora",1968,816494,170225
"FRE","Bullet / La Frétaz",1205,534225,188081
"CEV","Cevio",417,689688,130565
"CHZ","Cham",442,677758,226878
"CHA","Chasseral",1599,570845,220157
"CHM","Chaumont",1136,565060,211006
"CHU","Chur",556,759465,193152
"CHD","Château-d'Oex",1028,577040,147654
"CIM","Cimetta",1661,704433,117457
"CDM","Col des Mosses",1412,573817,137852
"GSB","Col du Grand St-Bernard",2472,579192,79753
"COY","Courtelary",695,573622,225597
"CMA","Crap Masegn",2480,732820,189380
"CRM","Cressier",430,571162,210797
"DAV","Davos",1594,783518,187458
"DEM","Delémont",439,593269,244543
"DIS","Disentis",1197,708190,173793
"EBK","Ebnat-Kappel",623,726347,237176
"EGH","Eggishorn",2893,650279,141897
"EGO","Egolzwil",521,642912,225540
"EIN","Einsiedeln",910,699982,221068
"ELM","Elm",957,732265,198425
"ENG","Engelberg",1035,674160,186069
"EVI","Evionnaz",482,568197,114693
"EVO","Evolène / Villa",1825,605412,106748
"FAH","Fahy",596,562464,252675
"FLU","Flühli, LU",939,644332,193311
"GRA","Fribourg / Posieux",650,575183,180076
"FRU","Frutigen",756,616773,160884
"GVE","Genève / Cointrin",410,498904,122631
"GES","Gersau",521,682509,205571
"GIH","Giswil",471,657322,188976
"GLA","Glarus",516,723755,210567
"GOR","Gornergrat",3129,626900,92512
"GRE","Grenchen",427,598218,225349
"GRH","Grimsel Hospiz",1980,668583,158215
"GRO","Grono",323,733016,124090
"GRC","Grächen",1605,630738,116062
"GOS","Göschenen",950,688477,171926
"GOE","Gösgen",380,640421,245949
"GUE","Gütsch, Andermatt",2283,690050,167475
"GUT","Güttingen",440,738421,273962
"HLL","Hallau",419,677456,283472
"HOE","Hörnli",1144,713516,247756
"ILZ","Ilanz",698,735685,181965
"INT","Interlaken",577,633023,169092
"JUN","Jungfraujoch",3580,641930,155275
"KOP","Koppigen",485,612662,218664
"BRL","La Brévine",1050,536981,203974
"CDF","La Chaux-de-Fonds",1017,550919,214861
"DOL","La Dôle",1669,497060,142371
"LAC","Lachen / Galgenen",468,707637,226334
"LAG","Langnau i.E.",743,628003,198793
"MLS","Le Moléson",1974,567718,155076
"LEI","Leibstadt",341,656373,272121
"ATT","Les Attelas",2735,586854,105302
"CHB","Les Charbonnières",1045,513821,169387
"DIA","Les Diablerets",2964,581914,130622
"MAR","Les Marécottes",990,567375,107577
"OTL","Locarno / Monti",366,704172,114342
"LUG","Lugano",273,717873,95884
"LUZ","Luzern",454,665543,209849
"LAE","Lägern",845,672250,259460
"MAG","Magadino / Cadenazzo",203,715479,113161
"MAS","Marsens",714,571758,167316
"MAH","Mathod",437,533458,176567
"MTR","Matro",2171,714263,140943
"MER","Meiringen",588,655844,175930
"MOB","Montagnier, Bagnes",839,583492,102189
"MVE","Montana",1427,601709,127488
"GEN","Monte Generoso",1600,722503,87456
"MRP","Monte Rosa-Plattje",2885,629149,89520
"MOA","Mosen",453,660127,232851
"MTE","Mottec",1580,614325,110730
"MOE","Möhlin",343,633053,269147
"MUB","Mühleberg",479,587792,202479
