"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)"
"TAE","Aadorf / Tänikon",539,710517,259824,"2019-07-10 21:10:00",13.9,0,0,10,78,3.2
"COM","Acquarossa / Comprovasco",575,710517,259824,"2019-07-10 21:10:00",21.6,0,0,5,35,11.5
"ABO","Adelboden",1322,710517,259824,"2019-07-10 21:10:00",13.6,0,-,-,76,1.8
"AIG","Aigle",381,710517,259824,"2019-07-10 21:10:00",21.4,0,0,9,41,4.7
"ALT","Altdorf",438,710517,259824,"2019-07-10 21:10:00",17.6,0,0,6,71,2.2
"ARH","Altenrhein",398,710517,259824,"2019-07-10 21:10:00",16.6,0,0,0,61,5
"AND","Andeer",987,710517,259824,"2019-07-10 21:10:00",14.3,0,0,4,70,2.2
"ANT","Andermatt",1438,710517,259824,"2019-07-10 21:10:00",12.4,0,0,3,70,13.7
"ARO","Arosa",1878,710517,259824,"2019-07-10 21:10:00",9,0,0,6,77,7.9
"RAG","Bad Ragaz",496,710517,259824,"2019-07-10 21:10:00",18.7,0,0,0,49,10.8
"BAN","Bantiger",941,710517,259824,"2019-07-10 21:10:00",-,-,0,15,-,-
"BAS","Basel / Binningen",316,710517,259824,"2019-07-10 21:10:00",21.7,0,0,11,37,4.3
"LAT","Bergün / Latsch",1407,710517,259824,"2019-07-10 21:10:00",13.1,0,-,-,66,5
"BER","Bern / Zollikofen",552,710517,259824,"2019-07-10 21:10:00",17.6,0,0,13,52,6.1
"BEZ","Beznau",325,710517,259824,"2019-07-10 21:10:00",19.8,0,0,11,51,2.2
"BIA","Biasca",278,710517,259824,"2019-07-10 21:10:00",23.8,0,0,11,34,10.1
"BIN","Binn",1479,710517,259824,"2019-07-10 21:10:00",14.7,0,-,-,60,4.3
"BIZ","Bischofszell",470,710517,259824,"2019-07-10 21:10:00",16.6,0,0,12,71,2.2
"BIV","Bivio",1856,710517,259824,"2019-07-10 21:10:00",8.8,0,-,-,76,5
"BIE","Bière",683,710517,259824,"2019-07-10 21:10:00",18.3,0,0,10,54,5.8
"BLA","Blatten, Lötschental",1538,710517,259824,"2019-07-10 21:10:00",12.1,0,0,10,71,4.7
"BOL","Boltigen",820,710517,259824,"2019-07-10 21:10:00",16.7,0,0,13,71,3.2
"BOU","Bouveret",374,710517,259824,"2019-07-10 21:10:00",23.7,-,-,-,41,15.8
"BRZ","Brienz",567,710517,259824,"2019-07-10 21:10:00",-,0,-,-,-,11.9
"BUS","Buchs / Aarau",386,710517,259824,"2019-07-10 21:10:00",20,0,0,11,45,3.6
"BUF","Buffalora",1968,710517,259824,"2019-07-10 21:10:00",9.5,0,0,7,43,2.5
"FRE","Bullet / La Frétaz",1205,710517,259824,"2019-07-10 21:10:00",14.6,0,0,13,58,6.1
"CEV","Cevio",417,710517,259824,"2019-07-10 21:10:00",22.3,0,0,7,64,7.6
"CHZ","Cham",442,710517,259824,"2019-07-10 21:10:00",19.9,0,0,3,43,5
"CHA","Chasseral",1599,710517,259824,"2019-07-10 21:10:00",10.8,0,0,11,44,24.8
"CHM","Chaumont",1136,710517,259824,"2019-07-10 21:10:00",14.4,0,0,3,52,5
"CHU","Chur",556,710517,259824,"2019-07-10 21:10:00",18.6,0,0,9,54,13.7
"CHD","Château-d'Oex",1028,710517,259824,"2019-07-10 21:10:00",15.2,0,0,12,70,6.1
"CIM","Cimetta",1661,710517,259824,"2019-07-10 21:10:00",12.9,0,0,4,97,17.3
"CDM","Col des Mosses",1412,710517,259824,"2019-07-10 21:10:00",12.7,0,-,-,74,7.2
"GSB","Col du Grand St-Bernard",2472,710517,259824,"2019-07-10 21:10:00",7.5,0,0,6,78,18.7
"COY","Courtelary",695,710517,259824,"2019-07-10 21:10:00",14.7,0,-,-,70,2.5
"CMA","Crap Masegn",2480,710517,259824,"2019-07-10 21:10:00",5.5,-,0,7,65,20.9
"CRM","Cressier",430,710517,259824,"2019-07-10 21:10:00",19.4,0,0,7,46,8.6
"DAV","Davos",1594,710517,259824,"2019-07-10 21:10:00",11.4,0,0,4,65,13.7
"DEM","Delémont",439,710517,259824,"2019-07-10 21:10:00",17.1,0,0,15,62,5.4
"DIS","Disentis",1197,710517,259824,"2019-07-10 21:10:00",15.5,0,0,7,58,8.6
"EBK","Ebnat-Kappel",623,710517,259824,"2019-07-10 21:10:00",15.1,0,0,9,68,0.4
"EGH","Eggishorn",2893,710517,259824,"2019-07-10 21:10:00",7.2,-,0,5,70,10.1
"EGO","Egolzwil",521,710517,259824,"2019-07-10 21:10:00",20,0,0,10,40,2.9
"EIN","Einsiedeln",910,710517,259824,"2019-07-10 21:10:00",-,-,-,-,-,-
"ELM","Elm",957,710517,259824,"2019-07-10 21:10:00",13.6,0,0,3,82,1.4
"ENG","Engelberg",1035,710517,259824,"2019-07-10 21:10:00",14.8,0,0,6,74,2.2
"EVI","Evionnaz",482,710517,259824,"2019-07-10 21:10:00",22,0,0,7,37,15.8
"EVO","Evolène / Villa",1825,710517,259824,"2019-07-10 21:10:00",12.8,0,0,12,68,3.2
"FAH","Fahy",596,710517,259824,"2019-07-10 21:10:00",16.3,0,0,18,56,5
"FLU","Flühli, LU",939,710517,259824,"2019-07-10 21:10:00",14.8,0,-,-,71,4.7
"GRA","Fribourg / Posieux",650,710517,259824,"2019-07-10 21:10:00",19.1,0,0,17,40,12.6
"FRU","Frutigen",756,710517,259824,"2019-07-10 21:10:00",15.8,0,0,11,75,3.2
"GVE","Genève / Cointrin",410,710517,259824,"2019-07-10 21:10:00",21.5,0,0,10,52,5.8
"GES","Gersau",521,710517,259824,"2019-07-10 21:10:00",17,0,-,-,65,13.7
"GIH","Giswil",471,710517,259824,"2019-07-10 21:10:00",16.8,0,0,7,79,1.1
"GLA","Glarus",516,710517,259824,"2019-07-10 21:10:00",17.5,0,0,8,61,1.4
"GOR","Gornergrat",3129,710517,259824,"2019-07-10 21:10:00",5.1,-,0,7,66,6.5
"GRE","Grenchen",427,710517,259824,"2019-07-10 21:10:00",20.1,0,0,6,42,9
"GRH","Grimsel Hospiz",1980,710517,259824,"2019-07-10 21:10:00",9,0,0,0,90,17.6
"GRO","Grono",323,710517,259824,"2019-07-10 21:10:00",20.2,0,0,5,72,2.2
"GRC","Grächen",1605,710517,259824,"2019-07-10 21:10:00",17.6,0,0,1,44,-
"GOS","Göschenen",950,710517,259824,"2019-07-10 21:10:00",14.8,0,-,-,72,5
"GOE","Gösgen",380,710517,259824,"2019-07-10 21:10:00",20.5,0,0,13,44,1.8
"GUE","Gütsch, Andermatt",2283,710517,259824,"2019-07-10 21:10:00",6.3,0,0,5,95,16.6
"GUT","Güttingen",440,710517,259824,"2019-07-10 21:10:00",15.6,0,0,11,64,8.6
"HLL","Hallau",419,710517,259824,"2019-07-10 21:10:00",16.3,0,0,7,65,6.5
"HOE","Hörnli",1144,710517,259824,"2019-07-10 21:10:00",13.9,0,0,11,55,7.6
"ILZ","Ilanz",698,710517,259824,"2019-07-10 21:10:00",18.5,0,0,6,54,-
"INT","Interlaken",577,710517,259824,"2019-07-10 21:10:00",19.4,0,0,11,60,10.8
"JUN","Jungfraujoch",3580,710517,259824,"2019-07-10 21:10:00",-0.7,-,0,6,84,24.1
"KOP","Koppigen",485,710517,259824,"2019-07-10 21:10:00",18.3,0,0,7,54,2.9
"BRL","La Brévine",1050,710517,259824,"2019-07-10 21:10:00",13,0,0,6,55,7.6
"CDF","La Chaux-de-Fonds",1017,710517,259824,"2019-07-10 21:10:00",14.6,0,0,11,41,4.7
"DOL","La Dôle",1669,710517,259824,"2019-07-10 21:10:00",11.8,0,0,14,55,14.4
"LAC","Lachen / Galgenen",468,710517,259824,"2019-07-10 21:10:00",18.8,0,-,-,49,-
"LAG","Langnau i.E.",743,710517,259824,"2019-07-10 21:10:00",17,0,0,9,63,2.5
"MLS","Le Moléson",1974,710517,259824,"2019-07-10 21:10:00",10.1,0,0,12,68,6.1
"LEI","Leibstadt",341,710517,259824,"2019-07-10 21:10:00",18.7,0,0,15,59,3.6
"ATT","Les Attelas",2735,710517,259824,"2019-07-10 21:10:00",6.4,-,0,10,85,7.6
"CHB","Les Charbonnières",1045,710517,259824,"2019-07-10 21:10:00",15.3,0,-,-,61,10.8
"DIA","Les Diablerets",2964,710517,259824,"2019-07-10 21:10:00",5.5,-,0,7,61,10.1
"MAR","Les Marécottes",990,710517,259824,"2019-07-10 21:10:00",15.8,0,-,-,76,4
"OTL","Locarno / Monti",366,710517,259824,"2019-07-10 21:10:00",24.8,0,6,2,57,10.1
"LUG","Lugano",273,710517,259824,"2019-07-10 21:10:00",25.3,0,0,5,58,9
"LUZ","Luzern",454,710517,259824,"2019-07-10 21:10:00",19.6,0,0,8,47,9
"LAE","Lägern",845,710517,259824,"2019-07-10 21:10:00",17.8,-,0,12,36,10.1
"MAG","Magadino / Cadenazzo",203,710517,259824,"2019-07-10 21:10:00",25.6,0,0,4,55,9.4
"MAS","Marsens",714,710517,259824,"2019-07-10 21:10:00",18.3,0,-,-,45,13.3
"MAH","Mathod",437,710517,259824,"2019-07-10 21:10:00",19.1,0,0,14,60,7.9
"MTR","Matro",2171,710517,259824,"2019-07-10 21:10:00",10.5,-,0,3,43,27
"MER","Meiringen",588,710517,259824,"2019-07-10 21:10:00",18.6,0,0,9,59,2.9
"MOB","Montagnier, Bagnes",839,710517,259824,"2019-07-10 21:10:00",17.3,0,-,-,69,1.8
"MVE","Montana",1427,710517,259824,"2019-07-10 21:10:00",16.8,0,0,10,50,6.8
"GEN","Monte Generoso",1600,710517,259824,"2019-07-10 21:10:00",13.5,0,0,2,95,9.4
"MRP","Monte Rosa-Plattje",2885,710517,259824,"2019-07-10 21:10:00",8.2,-,0,12,57,6.5
"MOA","Mosen",453,710517,259824,"2019-07-10 21:10:00",16.8,0,0,6,53,2.9
"MTE","Mottec",1580,710517,259824,"2019-07-10 21:10:00",12.7,0,0,8,74,5
"MOE","Möhlin",343,710517,259824,"2019-07-10 21:10:00",19,0,0,8,56,2.5
"MUB","Mühleberg",479,710517,259824,"2019-07-10 21:10:00",18.3,0,0,12,60,4
"MSK","Mühleberg / Stockeren",775,710517,259824,"2019-07-10 21:10:00",-,-,0,17,-,-
"NAS","Naluns / Schlivera",2380,710517,259824,"2019-07-10 21:10:00",6.4,-,0,0,62,17.6
"NAP","Napf",1403,710517,259824,"2019-07-10 21:10:00",11.8,0,0,9,58,5.8
"NEU","Neuchâtel",485,710517,259824,"2019-07-10 21:10:00",20.9,0,0,8,36,13.7
"CGI","Nyon / Changins",455,710517,259824,"2019-07-10 21:10:00",21,0,0,10,49,9
"OBR","Oberriet / Kriessern",409,710517,259824,"2019-07-10 21:10:00",16.5,0,-,-,60,3.6
"AEG","Oberägeri",724,710517,259824,"2019-07-10 21:10:00",-,-,-,-,-,4.7
