"Station","Name","Höhe","Longitude","Latitude"
"TAE","Aadorf / Tänikon",539,710517,714984
"COM","Acquarossa / Comprovasco",575,710517,714984
"ABO","Adelboden",1322,710517,714984
"AIG","Aigle",381,710517,714984
"ALT","Altdorf",438,710517,714984
"ARH","Altenrhein",398,710517,714984
"AND","Andeer",987,710517,714984
"ANT","Andermatt",1438,710517,714984
"ARO","Arosa",1878,710517,714984
"RAG","Bad Ragaz",496,710517,714984
"BAN","Bantiger",941,710517,714984
"BAS","Basel / Binningen",316,710517,714984
"LAT","Bergün / Latsch",1407,710517,714984
"BER","Bern / Zollikofen",552,710517,714984
"BEZ","Beznau",325,710517,714984
"BIA","Biasca",278,710517,714984
"BIN","Binn",1479,710517,714984
"BIZ","Bischofszell",470,710517,714984
"BIV","Bivio",1856,710517,714984
"BIE","Bière",683,710517,714984
"BLA","Blatten, Lötschental",1538,710517,714984
"BOL","Boltigen",820,710517,714984
"BOU","Bouveret",374,710517,714984
"BRZ","Brienz",567,710517,714984
"BUS","Buchs / Aarau",386,710517,714984
"BUF","Buffalora",1968,710517,714984
"FRE","Bullet / La Frétaz",1205,710517,714984
"CEV","Cevio",417,710517,714984
"CHZ","Cham",442,710517,714984
"CHA","Chasseral",1599,710517,714984
"CHM","Chaumont",1136,710517,714984
"CHU","Chur",556,710517,714984
"CHD","Château-d'Oex",1028,710517,714984
"CIM","Cimetta",1661,710517,714984
"CDM","Col des Mosses",1412,710517,714984
"GSB","Col du Grand St-Bernard",2472,710517,714984
"COY","Courtelary",695,710517,714984
"CMA","Crap Masegn",2480,710517,714984
"CRM","Cressier",430,710517,714984
"DAV","Davos",1594,710517,714984
"DEM","Delémont",439,710517,714984
"DIS","Disentis",1197,710517,714984
"EBK","Ebnat-Kappel",623,710517,714984
"EGH","Eggishorn",2893,710517,714984
"EGO","Egolzwil",521,710517,714984
"EIN","Einsiedeln",910,710517,714984
"ELM","Elm",957,710517,714984
"ENG","Engelberg",1035,710517,714984
"EVI","Evionnaz",482,710517,714984
"EVO","Evolène / Villa",1825,710517,714984
"FAH","Fahy",596,710517,714984
"FLU","Flühli, LU",939,710517,714984
"GRA","Fribourg / Posieux",650,710517,714984
"FRU","Frutigen",756,710517,714984
"GVE","Genève / Cointrin",410,710517,714984
"GES","Gersau",521,710517,714984
"GIH","Giswil",471,710517,714984
"GLA","Glarus",516,710517,714984
"GOR","Gornergrat",3129,710517,714984
"GRE","Grenchen",427,710517,714984
"GRH","Grimsel Hospiz",1980,710517,714984
"GRO","Grono",323,710517,714984
"GRC","Grächen",1605,710517,714984
"GOS","Göschenen",950,710517,714984
"GOE","Gösgen",380,710517,714984
"GUE","Gütsch, Andermatt",2283,710517,714984
"GUT","Güttingen",440,710517,714984
"HLL","Hallau",419,710517,714984
"HOE","Hörnli",1144,710517,714984
"ILZ","Ilanz",698,710517,714984
"INT","Interlaken",577,710517,714984
"JUN","Jungfraujoch",3580,710517,714984
"KOP","Koppigen",485,710517,714984
"BRL","La Brévine",1050,710517,714984
"CDF","La Chaux-de-Fonds",1017,710517,714984
"DOL","La Dôle",1669,710517,714984
"LAC","Lachen / Galgenen",468,710517,714984
"LAG","Langnau i.E.",743,710517,714984
"MLS","Le Moléson",1974,710517,714984
"LEI","Leibstadt",341,710517,714984
"ATT","Les Attelas",2735,710517,714984
"CHB","Les Charbonnières",1045,710517,714984
"DIA","Les Diablerets",2964,710517,714984
"MAR","Les Marécottes",990,710517,714984
"OTL","Locarno / Monti",366,710517,714984
"LUG","Lugano",273,710517,714984
"LUZ","Luzern",454,710517,714984
"LAE","Lägern",845,710517,714984
"MAG","Magadino / Cadenazzo",203,710517,714984
"MAS","Marsens",714,710517,714984
"MAH","Mathod",437,710517,714984
"MTR","Matro",2171,710517,714984
"MER","Meiringen",588,710517,714984
"MOB","Montagnier, Bagnes",839,710517,714984
"MVE","Montana",1427,710517,714984
"GEN","Monte Generoso",1600,710517,714984
"MRP","Monte Rosa-Plattje",2885,710517,714984
"MOA","Mosen",453,710517,714984
"MTE","Mottec",1580,710517,714984
"MOE","Möhlin",343,710517,714984
"MUB","Mühleberg",479,710517,714984
"MSK","Mühleberg / Stockeren",775,710517,714984
"NAS","Naluns / Schlivera",2380,710517,714984
"NAP","Napf",1403,710517,714984
"NEU","Neuchâtel",485,710517,714984
"CGI","Nyon / Changins",455,710517,714984
"OBR","Oberriet / Kriessern",409,710517,714984
"AEG","Oberägeri",724,710517,714984
"ORO","Oron",828,710517,714984
"BEH","Passo del Bernina",2260,710517,714984
"PAY","Payerne",490,710517,714984
"PIL","Pilatus",2106,710517,714984
"PIO","Piotta",990,710517,714984
"COV","Piz Corvatsch",3302,710517,714984
"PMA","Piz Martegnas",2670,710517,714984
"PLF","Plaffeien",1042,710517,714984
"ROB","Poschiavo / Robbia",1078,710517,714984
"PUY","Pully",455,710517,714984
"QUI","Quinten",419,710517,714984
